Call 1,"I've been told that I need to apply for a licence to sell my goods If we sell consumers credit, can we offer 12 months interest free credit without the licence?"
Call 2,we've been told we don¡¯t need a licence to sell credit but been the rates are our business would pay the finance companies would be a lot higher than to be not entirely regulated  but if we get a licence and get regulated that¡¯s gonna bring the rates of the finance down
Call 3,Been told by the national Prawn brokers association that I need to go down this route of the financial conduct authority to get a consumer credit license. Is that correct?
Call 4,"If I wanted to set up on my own website which does not do credit checks and no one takes fee now anyway,  but pass details on to a lender or a master broker, do I still have to apply for full permission."
Call 5,"I've been told best speak to you about some advice on what we need to do with the FCA. If were not offering any finance and its just sale or return cars, do we need to regsitered? "
Call 6,"I'm a little bit confused, I just need to get some help, we sell e pods equipment and we recommed a couple of brokers, or people that lease the gear or come up with finance or want some options, we don't get involved we just recommned that speak to this person or that person, we sort of been hinted that we need to get approved by you guys to do that, is that true? "
Call 7,"If I want to introduce business to banks, or commerical activities and I introduce them to a bank and do all the due dillgence, what licence do I need to have or what permissions do I need to have?"
Call 8,What does Credit broking licence allow me to do?
Call 9,Do I need to to be regulated or licenced if I offer a monthly payment to my customers to pay for their boilers?
Call 10,Looking to register my company to be FCA regulated to offer finance
Call 11,I am plumber and looking to sighn up with the Hitachi finance scheme which offers 10 months interest free. How do I go about it?
Call 12,"I am a car dealer, just spoekn to a finance company and apparently I have to be FCA regulated to offer any fnancial products to customers through them. Looking at the website so many different schemes, quite hard to make heads tails which I need to be. They said something about a  small payment services where you can offer it through them but not through myself if that make sense. "
Call 13,"I've spoke to the financial broker panel, and they guide/said to give you a call to get auothorised as a finanical broker. "
Call 14,If we were/are providing/offering finance but not through oursleves but through an outside source do we need to registered?  
Call 15,"from time to time I do make loan profit, I don¡¯t advertise but I people come to me privately. Do I need to be authorised? "
Call 16,Want to know whether what I want to do and have done once or twice is infact lawful or needs regulation for lending
Call 17,"I am opening/building a website at the moment and wondering if I need to be authorised by yourselfs, don't know how it works. Not sure if I do need Prduct comparsions website."
