statements,tiidf_result,lsi_result,lda_result,difflib_resutl
"I've been told that I need to apply for a licence to sell my goods If we sell consumers credit, can we offer 12 months interest free credit without the licence?",Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,"<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","Do you carry on the activity of debt administration? Please click ‘yes’ if you take steps to (1) perform the duties of a lender or an owner or (2) exercise or enforce the rights of a lender or an owner under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39G"
we've been told we don¡¯t need a licence to sell credit but been the rates are our business would pay the finance companies would be a lot higher than to be not entirely regulated  but if we get a licence and get regulated that¡¯s gonna bring the rates of the finance down,Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ",Is your customer a 'high net worth' individual? Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  60Q
Been told by the national Prawn brokers association that I need to go down this route of the financial conduct authority to get a consumer credit license. Is that correct?,Are you a housing authority? Click HERE to check if you are a housing authority.   60E(5),"<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","Is the credit provided to your customer so he can purchase land for non residential purposes? Before answering the question, click HERE to (watch a video)(read advice) which explains what this means as the question does not relate to all purchases of land.  60D"
"If I wanted to set up on my own website which does not do credit checks and no one takes fee now anyway,  but pass details on to a lender or a master broker, do I still have to apply for full permission.","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","Do you carry on the activities of debt adjusting? Please click ‘yes’ if you assist another person to (1) liquidate their credit agreement or their hire agreement, or (2) if you take over this agreement from them (for a fee) or (3) if you negotiate on their behalf with the lender or the owner with the aim of discharging the debt. Otherwise, click ‘no’.  39D","Do you operate an electronic system in relation to lending (such as a peer-to-peer lending platform)? Please click ‘yes’ if the platform facilitates the entry of 2 individuals (one as a borrower and one as a lender) into these types of agreements (click here to watch video/view list). Otherwise, click ‘no’.  36H","Do you operate an electronic system in relation to lending (such as a peer-to-peer lending platform)? Please click ‘yes’ if the platform facilitates the entry of 2 individuals (one as a borrower and one as a lender) into these types of agreements (click here to watch video/view list). Otherwise, click ‘no’.  36H"
"I've been told best speak to you about some advice on what we need to do with the FCA. If were not offering any finance and its just sale or return cars, do we need to regsitered? ","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> "
"I'm a little bit confused, I just need to get some help, we sell e pods equipment and we recommed a couple of brokers, or people that lease the gear or come up with finance or want some options, we don't get involved we just recommned that speak to this person or that person, we sort of been hinted that we need to get approved by you guys to do that, is that true? ","Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)","a. Do you charge any money to borrowers in connection with the provision of credit – including interest payments and other charges?

b. Is the obligation to repay secured by a legal mortgage on land?

c. Are your agreements ever hire purchase or conditional sale agreements? If you answer ‘yes’ to any of these question, then please click ‘yes'. Otherwise click ‘no’  A ‘hire-purchase agreement’ is an agreement between you as owner and another person as hirer of goods where the hirer has the option or ability to buy the goods. The goods should be in the possession of the hirer. This agreement is not to be confused with a consumer hire agreement which is also an agreement between you as owner and another person as hirer of goods BUT which does not give the hirer the option to purchase the goods. credit ready q.5","Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)",que1058 yes  adv7
"If I want to introduce business to banks, or commerical activities and I introduce them to a bank and do all the due dillgence, what licence do I need to have or what permissions do I need to have?","Do you already have another Limited Permission AND only provide credit information services in connection with this Limited Permission? If the performance of credit information activities is incidental or only connected to the carrying on of another Limited Permission, then you will not need to increase your license from Limited to Full.  check ROA. q 32, credit ready","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)","Do you carry on the activity of debt counselling? Please click ‘yes’ if you advise another person on how to liquidate their credit agreement or their hire agreement. Otherwise, click ‘no’.  39E","Is the credit less than £25,000 AND a Green Deal Plan? Click HERE to find out what the Green Deal Plan is.   "
What does Credit broking licence allow me to do?,Are you an investment firm or a credit institution AND the agreement is entered into for the purpose of allowing the borrower to carry out a transaction relating to one or more financial instruments?   60E(6),"If you answer ‘no’ to ALL of the below, then pls click ‘no'. Otherwise click ‘yes’ a. Do you carry on credit broking in relation to Green Deal Plans?  b. Do you carry on credit broking in relation to consumer hire or hire purchase agreements? c. Do you carry on broking for the purposes of, or in connection with, the sale of goods or supply of services by you? Please note that a hire purchase agreement is a credit agreement, not a hire agreement.  credit ready q.18, 22 and 26","If the ONLY credit broking you carry on is in relation to Green Deal Plans, please click ‘yes’. Otherwise, click ‘no’. Click HERE to view a short video explaining what a Green Plan is.  credit ready q. 18 to 20 inclusively","Does the value of the contract exceed £25,000 AND is it provided to the hirer predominantly for the purposes of his business?   60O"
Do I need to to be regulated or licenced if I offer a monthly payment to my customers to pay for their boilers?,"Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA","Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA",Is your customer a 'high net worth' individual? Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  60Q,"Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)"
Looking to register my company to be FCA regulated to offer finance,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","If you answer ‘no’ to ALL of the below, then pls click ‘no'. Otherwise click ‘yes’ a. Do you carry on credit broking in relation to Green Deal Plans?  b. Do you carry on credit broking in relation to consumer hire or hire purchase agreements? c. Do you carry on broking for the purposes of, or in connection with, the sale of goods or supply of services by you? Please note that a hire purchase agreement is a credit agreement, not a hire agreement.  credit ready q.18, 22 and 26"
